plant_type,location,sunlight,soil_type,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
Flower Plant,Outdoor Garden,High,Loamy,Low,27,43,55,5.2,Nitrogen Rich
Flower Plant,Indoor,High,Loamy,High,42,32,27,5.2,Phosphorus Rich
Herb,Balcony,High,Sandy,Medium,71,28,29,7.2,Phosphorus Rich
Flower Plant,Balcony,Medium,Sandy,High,56,47,21,6.7,Balanced NPK
Herb,Indoor,High,Loamy,Medium,74,80,69,6.0,Nitrogen Rich
Herb,Indoor,High,Sandy,Medium,68,20,47,5.1,Phosphorus Rich
Vegetable Plant,Indoor,High,Potting Mix,Medium,21,42,26,5.2,Nitrogen Rich
Flower Plant,Rooftop,High,Clay,Low,72,64,67,5.2,Bone Meal
Vegetable Plant,Balcony,Low,Potting Mix,High,21,37,32,7.3,Nitrogen Rich
Succulent,Rooftop,Medium,Loamy,Low,49,32,67,5.4,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Clay,High,42,30,29,5.7,Phosphorus Rich
Leafy Ornamental,Indoor,Low,Loamy,Medium,25,38,76,6.4,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Loamy,Medium,43,54,64,5.5,Liquid Fertilizer
Leafy Ornamental,Rooftop,Medium,Loamy,High,33,74,66,6.6,Nitrogen Rich
Succulent,Outdoor Garden,High,Clay,Medium,21,65,79,6.0,Nitrogen Rich
Succulent,Balcony,Medium,Potting Mix,High,60,74,37,6.1,Compost
Succulent,Rooftop,Low,Clay,Medium,56,62,57,6.1,Compost
Succulent,Indoor,Low,Loamy,High,67,36,75,5.6,Compost
Leafy Ornamental,Balcony,High,Loamy,Low,49,61,64,6.4,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Clay,Medium,58,61,66,5.2,Vermicompost
Flower Plant,Rooftop,Low,Potting Mix,Medium,27,76,70,5.8,Nitrogen Rich
Herb,Balcony,High,Sandy,High,63,79,29,6.4,Balanced NPK
Indoor Plant,Indoor,Low,Loamy,Medium,46,73,59,7.5,Liquid Fertilizer
Indoor Plant,Indoor,High,Sandy,High,61,68,34,6.2,Balanced NPK
Indoor Plant,Indoor,Low,Sandy,Medium,49,20,52,6.6,Phosphorus Rich
Vegetable Plant,Balcony,High,Clay,Medium,40,74,76,5.6,Balanced NPK
Leafy Ornamental,Rooftop,Medium,Potting Mix,Medium,28,25,72,7.3,Nitrogen Rich
Indoor Plant,Balcony,Low,Sandy,Low,56,37,43,6.8,Liquid Fertilizer
Leafy Ornamental,Rooftop,Medium,Clay,High,60,79,28,5.2,Balanced NPK
Vegetable Plant,Balcony,Low,Clay,Medium,31,63,76,7.2,Nitrogen Rich
Indoor Plant,Indoor,High,Potting Mix,High,46,39,67,7.0,Liquid Fertilizer
Vegetable Plant,Rooftop,Medium,Potting Mix,Low,30,31,52,5.9,Nitrogen Rich
Herb,Rooftop,Low,Clay,High,34,42,38,6.3,Nitrogen Rich
Indoor Plant,Indoor,High,Potting Mix,Low,29,49,46,7.2,Nitrogen Rich
Leafy Ornamental,Indoor,High,Sandy,Low,48,50,48,5.6,Nitrogen Rich
Indoor Plant,Indoor,Low,Clay,High,71,32,70,6.1,Phosphorus Rich
Leafy Ornamental,Balcony,High,Loamy,Low,41,80,54,5.8,Nitrogen Rich
Leafy Ornamental,Balcony,High,Sandy,High,38,56,37,5.1,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Potting Mix,Medium,28,34,57,6.1,Nitrogen Rich
Succulent,Indoor,Low,Loamy,Low,68,79,67,6.9,Compost
Herb,Outdoor Garden,High,Sandy,Medium,62,69,56,7.3,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Clay,Low,43,34,64,6.1,Phosphorus Rich
Herb,Outdoor Garden,High,Potting Mix,Medium,65,35,28,7.1,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Sandy,Medium,70,20,31,6.4,Phosphorus Rich
Herb,Rooftop,Medium,Loamy,Low,55,21,43,6.1,Phosphorus Rich
Flower Plant,Indoor,Medium,Potting Mix,Low,58,44,63,7.2,Bone Meal
Succulent,Rooftop,Medium,Loamy,Medium,30,53,56,7.2,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Potting Mix,High,40,67,63,5.7,Nitrogen Rich
Herb,Indoor,High,Potting Mix,High,53,56,41,7.3,Nitrogen Rich
Succulent,Rooftop,Low,Sandy,High,24,62,72,7.0,Nitrogen Rich
Flower Plant,Rooftop,High,Sandy,Medium,39,28,26,6.2,Phosphorus Rich
Vegetable Plant,Rooftop,Medium,Clay,Medium,36,75,42,6.9,Balanced NPK
Vegetable Plant,Balcony,Medium,Loamy,Medium,21,74,69,5.8,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Potting Mix,Low,25,47,66,6.7,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Medium,Sandy,Medium,23,23,23,5.6,Nitrogen Rich
Herb,Indoor,Medium,Potting Mix,Medium,71,28,27,5.3,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Potting Mix,Low,43,75,63,6.9,Liquid Fertilizer
Indoor Plant,Balcony,Medium,Sandy,Low,66,55,62,6.5,Liquid Fertilizer
Leafy Ornamental,Outdoor Garden,Low,Sandy,Medium,71,29,37,5.4,Phosphorus Rich
Indoor Plant,Outdoor Garden,Medium,Loamy,Low,68,55,80,6.7,Liquid Fertilizer
Herb,Rooftop,Low,Potting Mix,High,47,69,78,6.0,Nitrogen Rich
Herb,Rooftop,Medium,Clay,High,64,70,47,7.4,Nitrogen Rich
Indoor Plant,Balcony,High,Sandy,Low,53,43,70,6.4,Liquid Fertilizer
Vegetable Plant,Indoor,High,Clay,High,44,42,24,6.1,Balanced NPK
Herb,Rooftop,Low,Loamy,Medium,24,66,58,7.4,Nitrogen Rich
Vegetable Plant,Rooftop,Medium,Sandy,Medium,27,52,46,6.2,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,High,Loamy,High,65,67,71,6.2,Nitrogen Rich
Indoor Plant,Indoor,Medium,Clay,High,61,76,40,7.4,Liquid Fertilizer
Herb,Indoor,Low,Loamy,Low,62,40,55,5.2,Nitrogen Rich
Succulent,Outdoor Garden,Low,Clay,High,76,25,34,5.0,Phosphorus Rich
Indoor Plant,Balcony,High,Loamy,Medium,76,29,43,6.6,Phosphorus Rich
Herb,Indoor,High,Clay,Low,80,67,61,6.8,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Clay,High,70,80,25,7.3,Balanced NPK
Herb,Outdoor Garden,Low,Clay,Low,37,79,47,5.9,Nitrogen Rich
Indoor Plant,Indoor,Low,Potting Mix,High,78,79,64,5.2,Liquid Fertilizer
Vegetable Plant,Indoor,Medium,Sandy,High,59,32,65,5.4,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Loamy,Medium,44,69,27,5.7,Balanced NPK
Indoor Plant,Indoor,High,Sandy,High,50,55,43,7.2,Liquid Fertilizer
Flower Plant,Outdoor Garden,Medium,Loamy,Medium,61,24,31,5.8,Phosphorus Rich
Vegetable Plant,Rooftop,High,Potting Mix,Low,80,78,53,7.4,Balanced NPK
Leafy Ornamental,Indoor,Low,Clay,Low,40,72,65,5.4,Nitrogen Rich
Flower Plant,Indoor,High,Loamy,Low,54,49,33,5.0,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Loamy,High,30,72,79,7.0,Nitrogen Rich
Succulent,Outdoor Garden,High,Clay,Medium,34,49,67,7.4,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Clay,High,26,21,55,6.5,Nitrogen Rich
Vegetable Plant,Balcony,Low,Sandy,Medium,28,69,41,6.5,Nitrogen Rich
Vegetable Plant,Indoor,Low,Potting Mix,Medium,36,57,39,6.7,Balanced NPK
Flower Plant,Rooftop,Low,Clay,High,40,43,29,6.8,Balanced NPK
Flower Plant,Balcony,Medium,Clay,High,65,36,71,5.3,Bone Meal
Succulent,Balcony,Low,Clay,Low,77,35,68,6.0,Compost
Flower Plant,Rooftop,Medium,Clay,High,69,47,74,5.3,Bone Meal
Flower Plant,Rooftop,High,Loamy,Low,42,47,26,7.0,Balanced NPK
Leafy Ornamental,Rooftop,Low,Sandy,Low,62,61,64,5.6,Nitrogen Rich
Flower Plant,Rooftop,High,Potting Mix,Medium,65,64,59,5.1,Bone Meal
Flower Plant,Indoor,Low,Clay,High,60,31,67,7.3,Phosphorus Rich
Indoor Plant,Indoor,Low,Sandy,High,57,21,80,6.4,Phosphorus Rich
Flower Plant,Indoor,High,Potting Mix,High,56,33,76,5.5,Phosphorus Rich
Indoor Plant,Indoor,Low,Sandy,High,61,58,55,7.4,Liquid Fertilizer
Herb,Indoor,Low,Sandy,High,29,55,56,6.0,Nitrogen Rich
Leafy Ornamental,Indoor,High,Sandy,Medium,35,33,68,5.8,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,52,65,55,5.0,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Potting Mix,High,22,49,46,6.4,Nitrogen Rich
Succulent,Indoor,Low,Clay,Medium,46,36,37,5.4,Compost
Flower Plant,Balcony,High,Potting Mix,Medium,52,37,21,6.7,Balanced NPK
Succulent,Rooftop,High,Potting Mix,Low,76,29,56,5.1,Phosphorus Rich
Herb,Balcony,Medium,Loamy,Low,79,77,60,5.7,Nitrogen Rich
Succulent,Indoor,Low,Clay,Medium,44,54,56,6.4,Compost
Flower Plant,Outdoor Garden,Low,Sandy,Medium,77,59,45,5.9,Bone Meal
Succulent,Outdoor Garden,Medium,Sandy,Medium,23,69,35,7.1,Nitrogen Rich
Succulent,Balcony,Medium,Clay,Medium,35,46,49,6.4,Compost
Flower Plant,Rooftop,Medium,Loamy,Low,36,42,63,6.1,Bone Meal
Succulent,Indoor,Low,Potting Mix,Medium,73,76,57,5.9,Compost
Indoor Plant,Balcony,Medium,Potting Mix,Medium,43,53,62,5.7,Liquid Fertilizer
Succulent,Indoor,High,Clay,Medium,27,23,50,5.1,Nitrogen Rich
Indoor Plant,Indoor,Medium,Sandy,Low,30,62,33,7.1,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Potting Mix,Medium,53,41,74,5.9,Balanced NPK
Flower Plant,Balcony,Low,Clay,Medium,33,47,21,7.0,Nitrogen Rich
Vegetable Plant,Balcony,High,Potting Mix,High,68,24,54,5.3,Phosphorus Rich
Vegetable Plant,Balcony,Medium,Clay,Medium,45,53,80,5.3,Vermicompost
Leafy Ornamental,Rooftop,Medium,Sandy,High,22,78,52,6.5,Nitrogen Rich
Herb,Rooftop,High,Sandy,Low,47,42,59,6.7,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Clay,Medium,48,71,80,5.6,Liquid Fertilizer
Flower Plant,Balcony,Low,Potting Mix,Low,40,41,41,7.0,Bone Meal
Indoor Plant,Rooftop,Low,Loamy,Medium,75,76,34,6.9,Balanced NPK
Herb,Rooftop,High,Potting Mix,High,38,59,80,6.1,Nitrogen Rich
Flower Plant,Indoor,High,Clay,Low,67,36,21,6.9,Balanced NPK
Herb,Indoor,High,Sandy,Low,41,67,53,7.1,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Loamy,Low,78,25,22,6.1,Phosphorus Rich
Succulent,Balcony,Medium,Potting Mix,High,64,55,38,6.0,Compost
Indoor Plant,Balcony,Medium,Loamy,Low,67,64,25,5.2,Balanced NPK
Herb,Outdoor Garden,High,Loamy,Medium,30,45,34,6.9,Nitrogen Rich
Indoor Plant,Indoor,High,Sandy,Medium,56,48,71,6.8,Liquid Fertilizer
Leafy Ornamental,Balcony,Low,Sandy,High,64,75,28,6.2,Balanced NPK
Leafy Ornamental,Balcony,High,Sandy,Low,68,27,57,5.7,Phosphorus Rich
Flower Plant,Rooftop,Medium,Potting Mix,High,34,37,33,7.0,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Clay,Medium,66,26,54,7.0,Phosphorus Rich
Succulent,Outdoor Garden,High,Loamy,Medium,37,50,34,7.1,Balanced NPK
Vegetable Plant,Balcony,Medium,Sandy,Medium,73,64,70,6.1,Balanced NPK
Herb,Balcony,High,Potting Mix,High,79,32,27,7.2,Phosphorus Rich
Leafy Ornamental,Indoor,Medium,Sandy,Low,35,32,47,6.1,Phosphorus Rich
Indoor Plant,Rooftop,High,Sandy,Medium,42,37,79,7.0,Liquid Fertilizer
Flower Plant,Rooftop,Medium,Loamy,High,63,57,48,6.1,Bone Meal
Leafy Ornamental,Indoor,Medium,Sandy,Medium,73,64,41,7.3,Nitrogen Rich
Succulent,Outdoor Garden,Low,Loamy,Medium,37,32,29,5.6,Phosphorus Rich
Succulent,Indoor,Medium,Loamy,Low,76,52,49,6.1,Compost
Vegetable Plant,Balcony,High,Clay,Low,73,20,38,5.4,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Clay,Medium,46,65,20,5.2,Balanced NPK
Succulent,Outdoor Garden,High,Potting Mix,High,44,63,48,6.4,Compost
Succulent,Rooftop,Medium,Loamy,Medium,60,65,22,7.2,Balanced NPK
Leafy Ornamental,Outdoor Garden,High,Sandy,High,74,56,51,6.8,Nitrogen Rich
Succulent,Rooftop,Low,Potting Mix,High,77,66,56,6.3,Compost
Flower Plant,Rooftop,High,Sandy,Low,26,77,68,5.5,Nitrogen Rich
Flower Plant,Balcony,Low,Loamy,Low,59,41,70,6.7,Bone Meal
Leafy Ornamental,Outdoor Garden,Medium,Potting Mix,Medium,38,75,36,7.3,Nitrogen Rich
Herb,Rooftop,High,Loamy,Low,79,61,78,6.8,Nitrogen Rich
Indoor Plant,Balcony,Medium,Potting Mix,Medium,67,53,75,6.3,Liquid Fertilizer
Leafy Ornamental,Balcony,High,Sandy,Medium,56,41,36,6.2,Nitrogen Rich
Flower Plant,Indoor,Low,Loamy,High,56,67,29,5.6,Balanced NPK
Flower Plant,Outdoor Garden,Low,Clay,Low,74,65,38,5.5,Bone Meal
Succulent,Indoor,Low,Loamy,High,49,75,78,5.4,Compost
Vegetable Plant,Rooftop,High,Clay,Low,70,67,70,6.4,Balanced NPK
Succulent,Outdoor Garden,Medium,Potting Mix,Low,53,63,76,5.8,Compost
Leafy Ornamental,Outdoor Garden,Medium,Sandy,Low,79,29,20,6.2,Phosphorus Rich
Indoor Plant,Balcony,High,Sandy,Medium,44,20,31,7.3,Phosphorus Rich
Flower Plant,Balcony,Medium,Sandy,Low,30,61,78,7.5,Nitrogen Rich
Indoor Plant,Rooftop,High,Loamy,Medium,54,76,76,5.0,Liquid Fertilizer
Herb,Balcony,Low,Potting Mix,Medium,29,56,72,5.6,Nitrogen Rich
Vegetable Plant,Balcony,Medium,Sandy,Medium,60,57,32,5.4,Balanced NPK
Indoor Plant,Indoor,High,Loamy,High,28,71,76,5.7,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Sandy,High,44,73,26,5.0,Balanced NPK
Vegetable Plant,Balcony,High,Potting Mix,Low,37,27,57,5.5,Phosphorus Rich
Vegetable Plant,Indoor,Medium,Clay,Low,43,73,26,7.4,Balanced NPK
Indoor Plant,Rooftop,Low,Loamy,Medium,27,34,62,6.8,Nitrogen Rich
Flower Plant,Balcony,Low,Sandy,Low,28,35,31,5.5,Nitrogen Rich
Leafy Ornamental,Rooftop,High,Sandy,Low,56,56,60,6.7,Nitrogen Rich
Leafy Ornamental,Balcony,High,Sandy,Medium,31,51,34,5.8,Nitrogen Rich
Flower Plant,Rooftop,Low,Clay,High,25,45,74,5.2,Nitrogen Rich
Leafy Ornamental,Indoor,High,Clay,Low,63,29,25,5.0,Phosphorus Rich
Succulent,Outdoor Garden,High,Clay,High,70,31,72,7.2,Phosphorus Rich
Leafy Ornamental,Indoor,Medium,Loamy,High,40,73,27,6.8,Balanced NPK
Succulent,Balcony,High,Sandy,High,74,56,49,7.4,Compost
Succulent,Indoor,Medium,Potting Mix,Low,21,62,26,6.5,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Clay,Medium,71,78,33,6.8,Balanced NPK
Herb,Outdoor Garden,Low,Sandy,High,38,27,80,7.3,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Medium,62,42,44,7.4,Balanced NPK
Leafy Ornamental,Indoor,High,Sandy,High,55,32,60,5.4,Phosphorus Rich
Herb,Rooftop,Medium,Clay,Low,61,64,62,6.4,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Clay,High,66,64,28,5.1,Balanced NPK
Leafy Ornamental,Balcony,Medium,Clay,Medium,64,66,49,6.5,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Sandy,Low,49,72,71,7.4,Liquid Fertilizer
Succulent,Balcony,Medium,Sandy,Low,34,21,42,7.4,Nitrogen Rich
Herb,Rooftop,Medium,Loamy,Low,61,67,30,5.8,Balanced NPK
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,High,32,21,45,6.4,Nitrogen Rich
Succulent,Outdoor Garden,High,Potting Mix,Low,56,31,80,7.3,Phosphorus Rich
Indoor Plant,Rooftop,High,Loamy,High,64,42,38,5.1,Liquid Fertilizer
Indoor Plant,Rooftop,Medium,Sandy,Medium,75,44,70,7.5,Liquid Fertilizer
Leafy Ornamental,Balcony,Medium,Sandy,Low,40,70,47,6.9,Nitrogen Rich
Flower Plant,Rooftop,Medium,Clay,High,27,59,68,5.0,Nitrogen Rich
Indoor Plant,Balcony,Medium,Loamy,High,48,55,24,5.7,Balanced NPK
Herb,Indoor,Medium,Potting Mix,Medium,59,69,49,6.7,Nitrogen Rich
Herb,Rooftop,High,Sandy,Low,45,56,52,5.2,Nitrogen Rich
Flower Plant,Rooftop,Medium,Clay,Low,32,54,39,7.0,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,High,52,61,32,5.5,Balanced NPK
Indoor Plant,Rooftop,Low,Clay,High,29,22,61,5.9,Nitrogen Rich
Vegetable Plant,Balcony,High,Sandy,Low,36,36,23,5.9,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Clay,Low,57,72,50,6.9,Balanced NPK
Leafy Ornamental,Rooftop,High,Clay,Low,36,76,38,6.9,Nitrogen Rich
Leafy Ornamental,Balcony,High,Loamy,High,21,57,43,5.7,Nitrogen Rich
Vegetable Plant,Balcony,High,Sandy,Low,68,53,33,5.2,Balanced NPK
Indoor Plant,Outdoor Garden,High,Clay,High,38,77,37,7.3,Liquid Fertilizer
Flower Plant,Rooftop,Low,Clay,High,52,76,49,7.5,Bone Meal
Vegetable Plant,Rooftop,Medium,Potting Mix,High,34,20,74,5.7,Nitrogen Rich
Vegetable Plant,Balcony,Low,Clay,Medium,54,61,63,5.9,Balanced NPK
Vegetable Plant,Indoor,Medium,Loamy,High,55,73,30,6.3,Balanced NPK
Indoor Plant,Indoor,High,Clay,High,73,56,68,5.4,Liquid Fertilizer
Indoor Plant,Rooftop,Low,Sandy,High,57,66,76,5.7,Liquid Fertilizer
Flower Plant,Rooftop,Low,Sandy,Medium,77,44,43,7.1,Bone Meal
Vegetable Plant,Outdoor Garden,Low,Potting Mix,Low,20,23,79,6.7,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Clay,High,74,75,22,5.2,Balanced NPK
Herb,Balcony,Low,Potting Mix,High,77,60,43,7.1,Nitrogen Rich
Vegetable Plant,Outdoor Garden,High,Clay,Low,36,79,44,7.4,Balanced NPK
Herb,Rooftop,Medium,Loamy,High,52,32,66,6.7,Phosphorus Rich
Succulent,Outdoor Garden,Low,Clay,Medium,75,49,36,6.8,Compost
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,46,63,45,6.9,Nitrogen Rich
Herb,Outdoor Garden,Medium,Sandy,Medium,33,35,44,5.9,Nitrogen Rich
Succulent,Outdoor Garden,Low,Potting Mix,Low,25,23,47,6.4,Nitrogen Rich
Herb,Outdoor Garden,High,Potting Mix,High,34,59,76,7.4,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Loamy,Medium,38,32,47,6.5,Phosphorus Rich
Flower Plant,Balcony,Low,Clay,Medium,31,65,53,5.5,Nitrogen Rich
Herb,Balcony,Medium,Potting Mix,High,38,24,51,6.8,Phosphorus Rich
Flower Plant,Rooftop,Medium,Sandy,Low,23,50,80,6.3,Nitrogen Rich
Herb,Outdoor Garden,Medium,Sandy,Medium,33,38,67,7.5,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Sandy,Medium,63,67,71,6.7,Liquid Fertilizer
Vegetable Plant,Balcony,High,Sandy,High,63,45,26,6.3,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Potting Mix,Medium,20,53,62,7.4,Nitrogen Rich
Herb,Outdoor Garden,Medium,Potting Mix,Low,33,74,44,7.2,Nitrogen Rich
Flower Plant,Rooftop,Medium,Loamy,High,69,47,45,5.4,Bone Meal
Herb,Indoor,High,Loamy,Low,49,34,46,6.0,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Medium,Potting Mix,Low,58,23,44,7.3,Phosphorus Rich
Indoor Plant,Outdoor Garden,Low,Potting Mix,High,51,68,30,7.3,Balanced NPK
Leafy Ornamental,Rooftop,Medium,Clay,High,48,46,24,7.4,Balanced NPK
Herb,Outdoor Garden,Medium,Clay,High,71,67,50,6.6,Nitrogen Rich
Herb,Balcony,Low,Loamy,Low,45,27,80,6.8,Phosphorus Rich
Leafy Ornamental,Rooftop,Low,Clay,High,65,36,72,7.3,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Clay,High,36,58,25,6.1,Balanced NPK
Vegetable Plant,Rooftop,Medium,Sandy,Medium,71,53,60,5.2,Vermicompost
Succulent,Balcony,High,Potting Mix,High,71,24,55,5.6,Phosphorus Rich
Succulent,Indoor,Medium,Sandy,Low,60,35,67,5.3,Compost
Herb,Outdoor Garden,Medium,Sandy,Medium,32,72,35,6.6,Nitrogen Rich
Leafy Ornamental,Indoor,High,Clay,Low,58,54,32,6.4,Balanced NPK
Herb,Indoor,Medium,Potting Mix,High,31,39,59,6.4,Nitrogen Rich
Succulent,Balcony,Medium,Sandy,Low,22,73,32,5.0,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Potting Mix,Low,55,64,61,6.9,Compost
Vegetable Plant,Indoor,Medium,Clay,Low,79,44,24,6.0,Balanced NPK
Leafy Ornamental,Indoor,Low,Sandy,Medium,32,40,38,6.3,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Sandy,Medium,70,52,70,5.0,Bone Meal
Succulent,Indoor,Medium,Potting Mix,Medium,75,63,57,6.3,Compost
Leafy Ornamental,Outdoor Garden,Medium,Clay,High,74,23,30,5.8,Phosphorus Rich
Succulent,Rooftop,High,Potting Mix,Low,72,33,54,6.5,Phosphorus Rich
Flower Plant,Outdoor Garden,High,Loamy,Medium,62,38,68,7.2,Bone Meal
Vegetable Plant,Balcony,Medium,Sandy,Medium,75,67,48,7.3,Balanced NPK
Flower Plant,Indoor,Low,Clay,Low,45,24,69,5.7,Phosphorus Rich
Vegetable Plant,Outdoor Garden,High,Loamy,Medium,43,66,60,6.0,Balanced NPK
Flower Plant,Outdoor Garden,Low,Sandy,Medium,27,28,53,7.3,Nitrogen Rich
Herb,Rooftop,Medium,Potting Mix,Low,76,25,49,5.6,Phosphorus Rich
Flower Plant,Balcony,Medium,Loamy,Medium,56,68,60,5.8,Bone Meal
Indoor Plant,Indoor,Low,Clay,High,22,73,65,5.6,Nitrogen Rich
Flower Plant,Indoor,Medium,Loamy,High,31,32,66,5.8,Nitrogen Rich
Flower Plant,Indoor,Low,Clay,Low,35,43,48,5.2,Bone Meal
Flower Plant,Indoor,Medium,Potting Mix,Medium,59,28,72,5.2,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,High,31,53,59,6.1,Nitrogen Rich
Flower Plant,Outdoor Garden,Low,Loamy,Medium,43,45,39,7.0,Bone Meal
Vegetable Plant,Rooftop,Low,Sandy,Medium,45,60,57,6.8,Balanced NPK
Herb,Indoor,Low,Potting Mix,Low,55,56,47,6.2,Nitrogen Rich
Vegetable Plant,Rooftop,High,Clay,High,69,34,37,5.9,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,High,63,27,80,7.2,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,21,46,63,7.4,Nitrogen Rich
Indoor Plant,Indoor,Low,Loamy,Low,24,31,32,5.1,Nitrogen Rich
Herb,Outdoor Garden,Low,Potting Mix,High,38,48,34,7.5,Balanced NPK
Indoor Plant,Indoor,Medium,Sandy,Low,41,21,33,6.8,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Low,52,66,59,5.9,Balanced NPK
Succulent,Indoor,Medium,Loamy,Medium,77,80,55,5.8,Compost
Indoor Plant,Indoor,High,Potting Mix,High,66,55,67,5.6,Liquid Fertilizer
Flower Plant,Indoor,Low,Clay,Low,60,44,51,6.4,Bone Meal
Succulent,Outdoor Garden,Low,Loamy,High,63,36,44,5.9,Compost
Herb,Outdoor Garden,High,Potting Mix,High,28,59,33,5.1,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Potting Mix,Low,35,77,52,7.4,Liquid Fertilizer
Herb,Balcony,Medium,Clay,Low,52,62,41,5.0,Nitrogen Rich
Succulent,Rooftop,Medium,Potting Mix,Low,38,37,77,6.8,Compost
Vegetable Plant,Balcony,Medium,Loamy,High,35,43,60,6.3,Balanced NPK
Herb,Balcony,Low,Sandy,Low,57,37,34,7.1,Balanced NPK
Indoor Plant,Balcony,Medium,Potting Mix,High,61,66,36,6.9,Liquid Fertilizer
Succulent,Rooftop,Low,Sandy,High,68,73,47,7.1,Compost
Succulent,Indoor,High,Potting Mix,Medium,70,65,80,5.6,Compost
Succulent,Rooftop,High,Clay,Medium,48,68,68,7.4,Compost
Indoor Plant,Indoor,High,Clay,Low,50,22,57,6.3,Phosphorus Rich
Succulent,Outdoor Garden,Medium,Clay,High,72,74,53,7.2,Compost
Succulent,Balcony,High,Loamy,High,68,33,70,6.9,Phosphorus Rich
Leafy Ornamental,Indoor,High,Clay,Low,79,77,46,5.6,Nitrogen Rich
Herb,Indoor,High,Potting Mix,Medium,52,22,36,7.0,Phosphorus Rich
Herb,Indoor,Medium,Clay,Medium,42,70,28,6.5,Balanced NPK
Vegetable Plant,Rooftop,Medium,Sandy,Medium,54,20,55,6.1,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Loamy,Low,69,65,22,5.9,Balanced NPK
Herb,Outdoor Garden,High,Potting Mix,High,66,36,71,5.9,Nitrogen Rich
Succulent,Balcony,Low,Potting Mix,Medium,66,51,24,5.7,Balanced NPK
Leafy Ornamental,Outdoor Garden,High,Potting Mix,Medium,80,69,62,6.8,Nitrogen Rich
Indoor Plant,Balcony,Medium,Potting Mix,Low,76,28,46,7.3,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Sandy,Low,80,69,41,7.3,Balanced NPK
Leafy Ornamental,Outdoor Garden,High,Potting Mix,Medium,74,34,41,6.2,Phosphorus Rich
Herb,Outdoor Garden,Medium,Potting Mix,Low,47,73,69,5.1,Nitrogen Rich
Flower Plant,Indoor,Low,Loamy,Medium,40,55,47,5.2,Bone Meal
Vegetable Plant,Outdoor Garden,High,Clay,Medium,64,65,26,6.4,Balanced NPK
Vegetable Plant,Indoor,High,Potting Mix,High,33,64,30,6.2,Nitrogen Rich
Herb,Rooftop,High,Sandy,High,29,78,34,6.2,Nitrogen Rich
Indoor Plant,Balcony,High,Potting Mix,Low,30,32,34,6.7,Nitrogen Rich
Succulent,Indoor,Medium,Potting Mix,High,35,29,79,6.2,Phosphorus Rich
Flower Plant,Rooftop,Medium,Loamy,High,78,68,51,7.3,Bone Meal
Succulent,Indoor,Low,Potting Mix,Low,42,56,44,7.3,Compost
